,user_name,Date,Stars,elite,Updated,Text,Cool,Funny,Useful,check_ins,Photos,prev_text,prev_stars,prev_date,prev_useful,prev_funny,prev_cool,user_friends,user_link,user_location,user_photos,user_reviews,compound sentiment,negative sentiment,neutral sentiment,positive sentiment
0,Priscilla L.,1/3/2019,5,0,0,"Oh my goodness, can I give this place more stars? This little French bakery was near our Airbnb in Old Town, and I wish we hadn't waited until the last day of our trip to stop by! I got the hazelnut crepe, almond croissant, matcha macaron, and latte. The service was really nice, and everyone was so friendly. Everything was delicious, and I liked the crunch from the hazelnuts they added with the hazelnut crepe spread. The matcha macaron and latte were really good, but the best part was the almond croissant. It was DIVINE!! They put a delicious almond filling in the croissant, and the quality reminded me of the croissants I loved so much in Paris.One important thing to note is that you will need to put away your own trash and serving tray.If you're around the area, definitely stop by this cute little bakery!",0,0,1,0,[],,,,,,,1,https://www.yelp.com/user_details?userid=YK6YZtScjuiQXGHhJmmP1w,"Dallas, TX",18,16,0.9925,0.025,0.705,0.27
1,Rebecca P.,12/10/2018,5,0,0,Love this place. It's near my house and always delicious and authentic. Seems like most people working there are French and from the same family. Highly recommend their bread and pastries!,0,0,0,1,[],,,,,,,0,https://www.yelp.com/user_details?userid=0h6jkfyFbj6keDQkkUKIGQ,"Chicago, IL",0,9,0.9258,0.0,0.667,0.333
2,Greg G.,11/25/2018,5,0,0,"I love this place. Cute little french bakery on Wells street with amazing food. Very nice staff, the place is always clean, and it has a really cool rustic feeling to it. Definitely get the croque madame, and try their loaf of cheesy bread. You can't really go wrong at this place.",0,0,0,0,[],,,,,,,54,https://www.yelp.com/user_details?userid=0BxV_Ca2vPoOGOsRyHGyIw,"Chicago, IL",19,144,0.979,0.0,0.583,0.417
3,Kate C.A. L.,11/10/2018,4,0,0,Amazing sourdough bread and price is competitive. Haven't tried their pastry yet but looked good! Great service as well.,0,0,0,0,[],,,,,,,132,https://www.yelp.com/user_details?userid=6TblGqVujeANjYSozAU4bg,"Pittsburgh, PA",1,38,0.945,0.0,0.464,0.536
4,Gerard C.,11/3/2018,1,0,0,Even though it says dog friendly on Yelp it is not. There is a sign at the door saying no pets allowed. Only service animals are allowed.,0,2,0,0,['https://s3-media1.fl.yelpcdn.com/bphoto/2wDQwwV6EmxbVhHWkl2eRQ/348s.jpg'],,,,,,,4,https://www.yelp.com/user_details?userid=YLqe7VDf8pcEks-Agg1XJA,"Schaumburg, IL",1,8,0.25,0.075,0.816,0.109
5,Carrie D.,10/20/2018,5,0,1,"Love this place!  I go every week to get a latte and a pastry or crepe.  Delicious!  I've also enjoyed their soups and a ham a cheese croissant.  Prices are fair, service is friendly.  Highly recommend!",0,0,0,1,[],"Love this place!  I go every week to get a latte and a pastry or crepe.  Delicious!  I've also enjoyed their soups and a ham a cheese croissant.  Prices are fair, service is friendly and quick.  Highly recommend!",5.0,9/18/2018,0.0,0.0,0.0,0,https://www.yelp.com/user_details?userid=I3_wCDmXrTy889oCwN5V6w,"Crystal Lake, IL",0,4,0.9655,0.0,0.551,0.449
6,Amandine L.,10/10/2018,5,0,0,"Authentic and delicious! We started out with just breakfast (pain aux chocolate, almond croissant, pain aux raisins, and crepe ""Suzette"") and got lunch too (croque monsieur, quiche, and onion soup) since it was so good.",0,0,0,1,['https://s3-media3.fl.yelpcdn.com/bphoto/yA5XOk5bQmpvOJoOy48rOw/348s.jpg'],,,,,,,0,https://www.yelp.com/user_details?userid=S7bOwcgjinJ90dx4aa3edA,"Old Town, Chicago, IL",1,1,0.6633,0.077,0.744,0.18
7,Adam R.,10/6/2018,5,0,0,"Incredible pastry. Best croissants I have ever had. Flaky, not greasy, not too sweet. Always recommend it to anyone visiting Chicago.",0,0,0,0,[],,,,,,,566,https://www.yelp.com/user_details?userid=j7fvWMovLBZZH2GfaESOFw,"Playa del Rey, CA",0,7,0.6393,0.095,0.649,0.256
8,Minaz C.,9/28/2018,5,1,0,"Really good and authentic macaroons. They're always fresh and have a pretty good selection of them. If you sign up for their reward, you get a free one on you're birthday!",0,0,1,2,[],,,,,,,158,https://www.yelp.com/user_details?userid=-6gYApoyPvez737nxfnGqw,"Chicago, IL",145,220,0.9594,0.0,0.545,0.455
9,Kaitlyn M.,9/26/2018,5,0,0,"This place is a gem. I've gone a couple times on Saturday mornings. They have a great window for people watching. You'll want everything, but I recommend you get the quiche.",0,0,0,0,['https://s3-media2.fl.yelpcdn.com/bphoto/CHiSyefj-JOgxa9qLRxyPw/348s.jpg'],,,,,,,132,https://www.yelp.com/user_details?userid=2vIRWulOp_AzJkuDmRD-Gw,"Center City, Philadelphia, PA",21,14,0.714,0.0,0.775,0.225
10,Samantha W.,9/24/2018,5,0,1,"This spot has the definition of excellent customer service. Michael, the one attending me, immediately went above and beyond to explain everything and give me recommendations. He had such a positive and friendly attitude, and even gave me some history to the place. Turns out, the owner won the World Baking Championship in the 90's and went on to open this cafe and bakeries around Chicago. I got the Hazelnut Beignet and an Iced Mocha (homemade mocha at that!) and both were super delicious. I mentioned that I had recently moved here and they told me Old Town residents get a little discount... Sweet! Definitely returning soon.Update: I've returned a few times and haven't been upset yet. I still get the mocha and now I have been getting the almond croissant. Oh. Em. Gee. First of all, the thing is huge and has toasted almonds and powdered sugar on top. There's a sweet almond rum paste/filling on the inside that is to-die-for. Get it warmed and you're set.",1,0,2,0,"['https://s3-media3.fl.yelpcdn.com/bphoto/S3BFgQ_LlHR_4SlRs9V9Sw/348s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/moVoYiEz7hzw_GhYMEFOoA/168s.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/qHfLEj3Ja8C5iAWhCY_qRg/168s.jpg']","This spot has the definition of excellent customer service. Michael, the one attending me, immediately went above and beyond to explain everything and give me recommendations. He had such a positive and friendly attitude, and even gave me some history to the place. Turns out, the owner won the World Baking Championship in the 90's and went on to open this cafe and bakeries around Chicago. I got the Hazelnut Beignet and an Iced Mocha (homemade mocha at that!) and both were super delicious. I mentioned that I had recently moved here and they told me Old Town residents get a little discount... Sweet! Definitely returning soon.",5.0,6/22/2018,0.0,0.0,0.0,195,https://www.yelp.com/user_details?userid=KWxvkl4rONoJCSLr1n51_w,"Chicago, IL",37,18,0.9905,0.0,0.776,0.224
11,Abdulrahman J.,9/22/2018,5,0,0,"They just made my day. Their mastery is in every pastry they made. If you wanna taste how the French bake, you visit this shop as early as possible before they are sold out.",0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=-2KghEytEz8qzB9V4BFcqQ,"San Francisco, CA",0,2,0.0,0.0,1.0,0.0
12,Natalie S.,9/21/2018,5,0,0,"I took my Mom here when she was in town and we got fresh bakes bread and a six pack of Macarons. Needless to say-- we ate ALL macaron in one sitting. It's so cute inside and the guys working the counter were so helpful! If you've never been, I highly recommend it.",0,0,0,1,[],,,,,,,40,https://www.yelp.com/user_details?userid=rxUknwEuNPkCp17Col49ww,"Chicago, IL",13,9,0.8293,0.04,0.788,0.173
13,Emily R.,9/20/2018,4,1,0,"My husband and I stopped here on a Friday morning before walking around Lincoln Park. The staff were super friendly (and French).It was very quiet and spacious inside, and there was no wait. He got one of the quiches of the day and said it was the best quiche he has ever had. I got a blueberry danish and it was so buttery, light, fresh and basiaclly amazing. Everything was moderately priced. This would be 5 stars but I wish they did more with their coffee menu, as we were just given small mugs to self-serve out of a container, which is fine, but I wasn't expecting it. I'd be here a lot if I lived in the area!",0,0,0,0,[],,,,,,,66,https://www.yelp.com/user_details?userid=Ai8m4oHSUiJ_5v-wXxgvpw,"Baltimore, MD",183,322,0.9235,0.025,0.83,0.144
14,Benjamin P.,9/16/2018,3,0,0,"Average French pastries marketed as a classic French bakery.  Beignets lacked the density and richness of the best I've had, and the quiche was too moist.  Atmosphere fun with lovely staff.",0,0,0,0,[],,,,,,,0,https://www.yelp.com/user_details?userid=pL65SSJCEfDgk8nE9aTzIw,"Ridgewood, NJ",0,17,0.9382,0.0,0.642,0.358
15,Daniel A.,9/14/2018,5,0,0,"Authentic French Patisserie in Old Town. Definitely worth a visit from a morning coffee and croissant to soups, sandwiches, salads and quiches for lunch.",0,0,1,0,"['https://s3-media2.fl.yelpcdn.com/bphoto/s_lmVfaqiL8kXAsCDHds_Q/348s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/QbH6tnTnC0QeC60fhVqHTA/168s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/VoDvfiMMGuRpftU_2ibHvA/168s.jpg']",,,,,,,0,https://www.yelp.com/user_details?userid=tEPeOUoMrCoFjR18d-2M6A,"Chicago, IL",14,2,0.5574,0.0,0.813,0.187
16,Megan C.,9/9/2018,5,1,0,"Whoa baby, La Fournette you rock my world. Right across from Second City, this is my new go to after class snack. Side note: everyone should take an improv class at Second City once in their life! Anyways, the server greeted me in French and seemed genuinely excited to be there, which was refreshing. The case was pretty well staked around 2:30pm, and the almond croissant was crying my name, ""Eat me Megan. Eat me!"" I happily obliged and devoured it while walking to the train. Let it be known this is the best almond croissant I've had in my life thus far. It is a good size (possibly enough for two), and the almond filling is exquisite. It tastes like there may be some cointreau in there or some other liquor, maybe triple sec. Point is get the almond croissant and your tastebuds will sing for more!",1,1,1,0,[],,,,,,,209,https://www.yelp.com/user_details?userid=_gIEB_Oz0OotU8X5aXr4tg,"Chicago, IL",156,247,0.9627,0.019,0.835,0.146
17,Dez H.,8/30/2018,5,0,0,"Excellent crepes great atmosphere 5 star service! Large menu! Great for a afternoon snack, or breakfast. Opens at 7 am everyday!",0,0,0,0,[],,,,,,,31,https://www.yelp.com/user_details?userid=T2ZTPLAK_7JoK_ssspMqkg,"Chicago, IL",0,15,0.9297,0.0,0.54,0.46
18,Heather R.,8/6/2018,5,0,0,"Reasonably priced, delicious food, and a great atmosphere! We did not wait long to order or get our food. You can dine in or carry out. (Summer they have porch seating to eat outside). I used the Yelp check in deal to try their macaroons and it was very tasty. Staff was friendly and helpful with recommendations and questions. I would recommend this place.",0,0,0,1,[],,,,,,,168,https://www.yelp.com/user_details?userid=RhY1t3bFOahEslzpQECEMg,"Birmingham, MI",17,28,0.9485,0.0,0.771,0.229
19,Ethan K.,8/3/2018,5,0,0,"What a little gem! Not only is the atmosphere authentically French, but so is the food. From the croissants, to the roulades, and the fantastic breads, La Fournette is one of my favorite cafés anywhere. I recommend starting your day with a café au lait and a pastry. I almost always take home one of their signature Miche bread loaves. The sourdough flavor is incredible. Intelligentsia coffee is served here.",1,0,2,1,[],,,,,,,35,https://www.yelp.com/user_details?userid=WZ5qqSsUw-mrPhzEdJf98Q,"Jacksonville, IL",7,20,0.9493,0.0,0.795,0.205
20,Lina Y.,7/31/2018,5,0,0,Was treated to really great coffee & delicious almond croissant after hitting up a farmer's market. Cute decor & ambiance. Will definitely need to come back.,0,0,0,2,['https://s3-media3.fl.yelpcdn.com/bphoto/NoRxdPvrsTEOZBtKmQNxBA/348s.jpg'],,,,,,,185,https://www.yelp.com/user_details?userid=J380RaVNZ9ccqsWuRi51_g,"Fort Pierce, FL",47,23,0.9332,0.0,0.575,0.425
21,Olivia A.,7/29/2018,5,0,0,"Authentic French bakery. Delicious chocolate eclair and raspberry beignet. Absolutely wonderful bread. I had a ham and cheese baguette and my daughter enjoyed her tuna salad sandwich. Excellent collection of french macarons-- mango passion, pista. Cointreau, chocolate and pina colado. Heavenly",0,0,0,0,[],,,,,,,42,https://www.yelp.com/user_details?userid=utVZWvcFiKouc4ZJK9UshQ,"White Marsh, MD",0,1,0.9709,0.0,0.603,0.397
22,Laurice S.,7/27/2018,5,0,0,"Came in on an early Friday morning and it wasn't super busy but busy enough that there was a wait for our coffee and crepes. They have sweet or savory crepes. I got the veggie crepe which had spinach, cheese and egg. My husband got ham, cheese, and egg in his crepe. Both were very delicious. We also got a chocolate croissant which was also tasty. I'm not the biggest coffee connoisseur but I enjoyed my coffee just fine. The space isn't very big but there's plenty seating including some al fresco seating during warmer months.",0,0,0,0,[],,,,,,,219,https://www.yelp.com/user_details?userid=kzH_InisEVkcQ0zgRvupHg,"Chicago, IL",224,107,0.9576,0.019,0.804,0.177
