Department,date,year,MonthN,WeekD,SEASONAL,DAY_PART,Quantity,Net Total,Avg Sale per Product
Bakery,7/27/16,2016,7,Wed,Hot Season,02-Afternoon,1,2,2
Bakery,7/27/16,2016,7,Wed,Hot Season,04-Evening,2,12,6
Bakery,7/28/16,2016,7,Thu,Hot Season,01-Morning,2,4,2
Bakery,7/28/16,2016,7,Thu,Hot Season,02-Afternoon,4,10,2.5
Bakery,7/28/16,2016,7,Thu,Hot Season,03-Early Evening,2,8,4
Bakery,7/28/16,2016,7,Thu,Hot Season,04-Evening,1,4,4
Bakery,7/29/16,2016,7,Fri,Hot Season,01-Morning,4,8,2
Bakery,7/29/16,2016,7,Fri,Hot Season,02-Afternoon,12,39,3.25
Bakery,7/29/16,2016,7,Fri,Hot Season,03-Early Evening,4,13,3.25
Bakery,7/30/16,2016,7,Sat,Hot Season,01-Morning,4,19,4.75
Bakery,7/30/16,2016,7,Sat,Hot Season,02-Afternoon,3,14,4.666666667
Bakery,7/30/16,2016,7,Sat,Hot Season,03-Early Evening,4,24,6
Bakery,7/31/16,2016,7,Sun,Hot Season,01-Morning,6,26.5,4.416666667
Bakery,7/31/16,2016,7,Sun,Hot Season,02-Afternoon,1,5,5
Bakery,8/2/16,2016,8,Tue,Hot Season,01-Morning,2,11.5,5.75
Bakery,8/2/16,2016,8,Tue,Hot Season,02-Afternoon,4,15,3.75
Bakery,8/2/16,2016,8,Tue,Hot Season,04-Evening,1,2.5,2.5
Bakery,8/3/16,2016,8,Wed,Hot Season,01-Morning,1,2.5,2.5
Bakery,8/3/16,2016,8,Wed,Hot Season,02-Afternoon,1,2.5,2.5
Bakery,8/3/16,2016,8,Wed,Hot Season,03-Early Evening,1,2,2
Bakery,8/4/16,2016,8,Thu,Hot Season,01-Morning,3,17,5.666666667
Bakery,8/4/16,2016,8,Thu,Hot Season,02-Afternoon,4,12,3
Bakery,8/4/16,2016,8,Thu,Hot Season,03-Early Evening,2,7.5,3.75
Bakery,8/4/16,2016,8,Thu,Hot Season,04-Evening,1,6,6
Bakery,8/5/16,2016,8,Fri,Hot Season,01-Morning,2,4.5,2.25
Bakery,8/5/16,2016,8,Fri,Hot Season,02-Afternoon,5,25,5
Bakery,8/5/16,2016,8,Fri,Hot Season,03-Early Evening,5,18,3.6
Bakery,8/5/16,2016,8,Fri,Hot Season,04-Evening,2,9.75,4.875
Bakery,8/6/16,2016,8,Sat,Hot Season,01-Morning,4,17,4.25
Bakery,8/6/16,2016,8,Sat,Hot Season,02-Afternoon,13,42.25,3.25
Bakery,8/8/16,2016,8,Mon,Hot Season,01-Morning,1,6,6
Bakery,8/8/16,2016,8,Mon,Hot Season,02-Afternoon,1,7.5,7.5
Bakery,8/8/16,2016,8,Mon,Hot Season,03-Early Evening,1,6,6
Bakery,8/8/16,2016,8,Mon,Hot Season,04-Evening,1,6,6
Bakery,8/9/16,2016,8,Tue,Hot Season,01-Morning,3,15.5,5.166666667
Bakery,8/9/16,2016,8,Tue,Hot Season,02-Afternoon,1,2,2
Bakery,8/10/16,2016,8,Wed,Hot Season,01-Morning,1,2,2
Bakery,8/11/16,2016,8,Thu,Hot Season,01-Morning,4,16,4
Bakery,8/11/16,2016,8,Thu,Hot Season,02-Afternoon,2,9.5,4.75
Bakery,8/11/16,2016,8,Thu,Hot Season,03-Early Evening,1,6,6
Bakery,8/12/16,2016,8,Fri,Hot Season,01-Morning,2,9.5,4.75
Bakery,8/12/16,2016,8,Fri,Hot Season,03-Early Evening,1,2,2
Bakery,8/13/16,2016,8,Sat,Hot Season,01-Morning,1,2,2
Bakery,8/13/16,2016,8,Sat,Hot Season,02-Afternoon,1,7.5,7.5
Bakery,8/13/16,2016,8,Sat,Hot Season,03-Early Evening,3,13.7,4.566666667
Bakery,8/14/16,2016,8,Sun,Hot Season,01-Morning,1,7.5,7.5
Bakery,8/16/16,2016,8,Tue,Hot Season,01-Morning,1,2,2
Bakery,8/16/16,2016,8,Tue,Hot Season,02-Afternoon,4,23,5.75
Bakery,8/17/16,2016,8,Wed,Hot Season,01-Morning,5,21,4.2
Bakery,8/17/16,2016,8,Wed,Hot Season,02-Afternoon,2,7.75,3.875
Bakery,8/17/16,2016,8,Wed,Hot Season,03-Early Evening,1,6,6
Bakery,8/18/16,2016,8,Thu,Hot Season,01-Morning,3,7.75,2.583333333
Bakery,8/18/16,2016,8,Thu,Hot Season,02-Afternoon,5,25.5,5.1
