user_name,review_date,stars,user_location,review_text,check_ins,cool_rating_count,useful_rating_count,funny_rating_count,review_photos,previous_review,elite_status,user_link,user_friends,user_photos,user_reviews
Elise M.,"12/27/2018
            





Updated review",4,"Chicago, IL","2018 Updated Review:This place closed for several months in 2018 and reopened toward the end of the year. I remembered my delightful breakfast sandwich and rushed back to have it again...but it wasn't on the menu. My Maple Spice syrup was gone too.But! The service I got was comparable to my previous experiences, my chocolate tart was also equally good, and the smoked salmon sandwich I ordered was still good...just not what I wanted.I'll go back again sometime for the baked goods, but I think I'll stick to other places nearby for creative sandwiches and coffee instead.Original Review:They have a Gourmet Breakfast Sandwich that is smoked salmon, a fried egg, avocado, mixed greens, and Dijon mustard on a croissant. I knew it would be good, but this was better than good: it was perfect. I'm full but not disgustingly so. Why can't more breakfast sandwiches be this good?!On top of that, they have a Maple Spice syrup (maybe for autumn only?) for coffee which also blew my mind wide open like a delicious epiphany. It's sweet but not too sweet. It's everything I wanted Starbucks' Maple Pecan Latte to be.I am so happy I dropped in here on a whim. I will definitely be back.",0,0,0,0,[],"{'stars': 5, 'review_date': '10/7/2017\n            \nPrevious review', 'review_text': ""They have a Gourmet Breakfast Sandwich that is smoked salmon, a fried egg, avocado, mixed greens, and Dijon mustard on a croissant. I knew it would be good, but this was better than good: it was perfect. I'm full but not disgustingly so. Why can't more breakfast sandwiches be this good?!On top of that, they have a Maple Spice syrup (maybe for autumn only?) for coffee which also blew my mind wide open like a delicious epiphany. It's sweet but not too sweet. It's everything I wanted Starbucks' Maple Pecan Latte to be.I am so happy I dropped in here on a whim. I will definitely be back."", 'review_feedback': {'review_type': ['Useful', 'Funny', 'Cool'], 'review_count': ['1', '0', '0']}}",not elite,https://www.yelp.com/user_details?userid=TY4CtPX5jCsSvjMvpEnC2A,0,13,36
John D.,"7/1/2018
            





Updated review",5,"Chicago, IL","Such a beautiful pleasant atmosphere. Highly recommend the lemon macaroon or smote macaroon, chocolate eclair, fresh ciabatta bread loaves and chocolate crosiant!",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=5AL4m5Nh1P91HuKxewdWPQ,1,0,134
Hunny B.,5/3/2018,4,"Chicago, IL","I am reluctant to write this review because I understand restaurants and having to deal with so many different types of people, thoughtful and rude. So I really do understand customer service BUT. I really do want to applaud this place for getting me back into loving Macaroons again. There are numerous places that do make them but most dont make the cut. This place, I want to say is on top of my list and definitely back for more.The reason for my minus stars is the lady working there at the moment. It was not busy and around 4-5pm. I came in looking for a snack and so I tried the macaroons. Great texture, perfectly super sweet and great tasting. So back to the service. Just that when I asked her about eclairs that didnt have chocolate on top, she looked at me quite judgmental just replying no they only have eclairs like this. I guess I am not the only one who received this type of service. Like she wanted to hurry me up, and if I was deciding on what I wanted, she looked annoyed. (I understand too that people can be so picky and annoying but if the customer was polite or didn't bother her until she was ready to order, shouldn't you be a little nicer?)Conclusion. Good macaroons Bad customer serviceWill be back for macaroons cravings so hopefully this isn't an issue.",0,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=NtC8Rn7HLeSI1bzIqnjFTg,5,14,31
Tee L.,3/21/2018,4,"Chicago, IL","Cute lil set up with courteous staff. First time here, ordered the Purple Sweet Potato muffin - good stuff, highly recommend it; I hear it's one of their best sellers. The frosting is vey lite, it tastes whipped and very flavorful - interesting bcuz I normally hate cake frosting. This new treasure is for sure worth the trip. I'll be back!",0,0,0,0,"['https://s3-media4.fl.yelpcdn.com/bphoto/-b6RZ9ac-8ou5dms-6TP7w/348s.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Ts1CCl8_FmgFyLp1tKVrqQ/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/rNB3nGh51ma-gyNJkPAzKQ/168s.jpg']",[],not elite,https://www.yelp.com/user_details?userid=grtg2KPWpj3NDbVX5DT7wA,7,423,139
Rose O.,3/9/2018,4,"Chicago, IL",Their caprese sandwich is just OK but i really like their diplomat dessert. Very good warmed and enjoyed with a cup of coffee!,1,0,0,0,[],[],not elite,https://www.yelp.com/user_details?userid=uAacYJSqKG7mExetcQ2AEw,408,1,98
Amanda D.,2/27/2018,4,"Chicago, IL","Cute little cafe. The neighborhood has kind of gone to shit in the last year or so. I hope with the new construction, new shops will move in to the empty storefronts.Pastries seemed abundant and labeled correctly. Plenty of sandwich options and seemed to be healthy with housemade bread.We visited for a latte around 1215pm and there was no line for lunch. There also seemed to be only one employee. For lunchtime on a Monday, this seemed odd. The barista was cute and efficient, but she didn't seem to get one lunch order while we were there (30 minutes).",2,1,1,1,[],[],elite,https://www.yelp.com/user_details?userid=_O8yXAtCODPoKkO79lnYXw,102,162,334
Srishti S.,2/7/2018,5,"Chicago, IL","I love this cute little French bakery! It's right next to the Belmont El station and is tiny, but don't miss it! They have fresh baked bread, croissants, macaroons, pastries and also a bit bar that serves made-to-order crepes- both sweet and savory! The ambience is super cute and it isn't usually super crowded- as if people haven't discovered this neighborhood gem? It's perfect to sit down and get some work done or meet up with a friend over coffee.",1,1,1,1,['https://s3-media1.fl.yelpcdn.com/bphoto/UIM56OudExzbr4mm_Th0iw/348s.jpg'],[],elite,https://www.yelp.com/user_details?userid=NMI5rk7AJWMjIW-d6o_KRg,109,279,141
Tawanda N.,1/17/2018,3,"Chicago, IL",Did someone say Macaroons because when I walked into this location asking for directions the first time I automatically forgot where I needed to go and was mesmerized by their dessert selection. Ambiance this place is cozy and there is no background music playing. I have seen other people order sandwiched and it could be a cute brunch place but I only show up here for 1 thing mostly just the macaroonsStaff they are always talkative and knowledgeable on the selection available. Food I love the macaroons and they taste so good even though they are on the pricey side but sometimes all you need is an early grey macaroon or raspberry flavored macaroon. Are they the best I have tasted no but they do the job,4,0,0,0,['https://s3-media2.fl.yelpcdn.com/bphoto/z4WN2QVPMHeN3BLI0MhGXQ/348s.jpg'],[],not elite,https://www.yelp.com/user_details?userid=xQxd_m2yAjIHpnZCk8QaVg,111,117,48
Nikka C.,1/6/2018,3,"Chicago, IL","This place is cute and cozy! I would definitely come back for a quick breakfast sandwich but not sure I would buy their dessert again. - latte (average, 4/5)- ham & cheese croissant (pretty good, 4.5/5)- macaroons (disappointed, 3/5)For the macaroons I tried the lavender, lemon poppyseed, salted caramel, and pistachio. I was pretty disappointed because the macaroons were dry and hollow. I was expecting them to be lightly flavored, chewy but with that melt in your mouth texture.",1,0,0,0,['https://s3-media4.fl.yelpcdn.com/bphoto/Ln5GTCvGxg75Rf_JADN6Ow/348s.jpg'],[],not elite,https://www.yelp.com/user_details?userid=cDqy270nz1ygVF-8-MUnTA,205,69,52
Nivek R.,12/28/2017,5,"Chicago, IL","I love French desserts and I've been craving one since I left the French hotel I used to work to. I was heading home then I remembered this place. Here's a breakdown of my review.Ambience: The place is clean and displays look neat. I'm just hoping to have that buttery fresh baking smell when you go inside a bakery. 4.5/5Service: So the young lady that helped me was really nice and just jolly. I was the only one at the store at that time and told her some interesting facts about French desserts. She was so happy and gave me a free financier since I was undecided that day and she really wants me to taste it. I hope I got her name but she looks a lil bit like Sersei from GOT. 5/5 or higher if only I can.Desserts: I got the Lavender Macaron And the lemon Financier. The Macaron is borderline sweet for me. Maybe just a tiny bit cut from sugar but nonetheless still enjoyable. The financier is fantastic. Just right soft, buttery and moist cake. Definitely would go back there for Financier. 4.8/5Pricing: this post is a late one so I can't remember exact price but I remember they are on a pricier side but it is acceptable because La boulangerie use quality products in making their desserts and French desserts. Compared to other French pattiserries, they're competitive price. 5/5.The service of Ms. Sersei gave this place an unforgettable experience and I will be back often just coz of that.",0,0,1,0,[],[],not elite,https://www.yelp.com/user_details?userid=t6MwWJKzFwjrnZEzp360oQ,146,1,4
