0,word_count
good,100
macaroons,92
bread,81
place,80
sandwiches,76
sandwich,75
one,66
like,65
great,62
french,54
baguette,54
fresh,53
back,53
chocolate,52
really,51
get,51
go,46
food,46
croissant,43
also,43
la,42
try,41
boulangerie,41
time,41
service,40
got,39
delicious,39
order,38
bakery,36
quiche,36
staff,35
made,34
little,33
pastries,33
friendly,30
baguettes,29
nice,29
small,28
macaroon,28
sweet,28
love,27
taste,26
breakfast,26
coffee,26
even,25
baked,25
well,24
quality,24
best,24
think,24
5,24
make,23
want,23
cheese,23
day,22
amazing,22
right,21
crepes,21
location,21
much,21
super,21
home,21
tried,20
belmont,20
pretty,20
around,20
came,20
bit,20
ordered,20
definitely,20
crepe,20
come,20
flavors,19
way,19
never,19
since,19
sure,19
croissants,19
us,18
inside,18
everything,18
caramel,18
always,18
better,17
said,17
excellent,17
went,17
stop,17
looked,17
next,17
disappointed,17
see,17
store,16
work,16
instead,16
couple,16
people,16
give,16
cute,16
favorite,16
perfect,16
price,15
customer,15
still,15
chicago,15
breads,15
filling,15
know,15
buy,15
tasted,15
say,15
experience,15
find,15
stopped,14
bought,14
paris,14
pastry,14
thing,14
truck,14
4,14
bad,14
ciabatta,14
first,14
worth,14
walked,14
look,14
told,14
take,14
minutes,14
left,14
wait,14
logan,13
maybe,13
menu,13
away,13
different,13
ingredients,13
times,13
spot,13
decided,13
eat,13
oven,13
open,13
50,13
tasty,13
working,13
review,13
though,13
new,13
butter,13
two,13
tart,12
square,12
morning,12
quick,12
asked,12
outside,12
3,12
lavender,12
case,12
friend,12
pistachio,12
available,11
recommend,11
close,11
cafe,11
called,11
lunch,11
greens,11
rude,11
either,11
gave,11
seemed,11
trying,11
line,11
today,11
goods,11
,11
2,11
wisconsin,11
wonderful,11
person,11
need,11
warm,10
almost,10
chewy,10
prices,10
buttery,10
turkey,10
lot,10
door,10
behind,10
quite,10
going,10
check,10
happy,10
bacon,10
soft,10
desserts,10
spanish,10
$4,9
loaf,9
avocado,9
yummy,9
expensive,9
feel,9
another,9
chicken,9
counter,9
flaky,9
end,9
dinner,9
yet,9
apple,9
although,9
france,9
hot,9
served,9
flavor,9
neighborhood,9
looking,9
salted,9
wanted,9
kind,9
nothing,9
cost,8
bite,8
1,8
hope,8
hard,8
however,8
excited,8
far,8
egg,8
probably,8
latte,8
table,8
customers,8
name,8
seem,8
old,8
brie,8
making,8
walk,8
club,8
money,8
serve,8
city,8
disappointing,8
things,8
many,8
salmon,8
sell,8
tell,8
oh,8
usually,8
plain,8
ever,8
used,8
half,8
employee,8
crispy,7
something,7
incredibly,7
busy,7
ordering,7
eating,7
burnt,7
others,7
cozy,7
cut,7
year,7
almond,7
might,7
lady,7
rather,7
bakeries,7
girl,7
financier,7
wish,7
stale,7
coming,7
shop,7
real,7
:,7
free,7
visit,7
stars,7
started,7
found,7
felt,7
anything,7
huge,7
sitting,7
fact,7
last,7
caprese,7
actually,7
red,7
options,6
whole,6
enough,6
top,6
snack,6
cream,6
sunday,6
cold,6
often,6
traditional,6
tiny,6
absolutely,6
places,6
ham,6
fantastic,6
point,6
getting,6
heat,6
slice,6
simply,6
opened,6
glad,6
side,6
night,6
helpful,6
texture,6
return,6
long,6
raspberry,6
cronut,6
attitude,6
early,6
pricey,6
believe,6
authentic,6
restaurant,6
vanilla,6
deal,6
awesome,6
understand,6
street,6
soon,6
bag,6
turned,6
mediocre,6
$1,6
yelp,6
ask,6
lovely,6
walking,6
loved,6
soggy,6
months,6
dessert,6
late,6
unless,6
manager,6
talk,5
personal,5
decent,5
read,5
giving,5
toasted,5
dozen,5
window,5
lemon,5
across,5
less,5
cashier,5
beautiful,5
reason,5
least,5
true,5
$2,5
meat,5
done,5
four,5
classic,5
seriously,5
piece,5
terrible,5
flavorful,5
manchego,5
front,5
au,5
full,5
variety,5
woman,5
selection,5
comes,5
market,5
sit,5
stand,5
$3,5
put,5
finally,5
may,5
fan,5
taking,5
totally,5
happened,5
lakeview,5
imagine,5
water,5
past,5
eclair,5
years,5
key,5
overpriced,5
remember,5
guy,5
took,5
evening,5
items,5
ambience,5
high,5
10,5
crust,5
afternoon,5
café,5
hear,5
call,5
sugar,5
mind,5
swiss,5
dry,5
tables,5
saw,5
ended,5
cannele,5
saturday,5
sweets,5
combination,4
sometime,4
delish,4
enjoy,4
offering,4
delivery,4
stick,4
yes,4
creative,4
summer,4
entire,4
folks,4
sucker,4
coconut,4
several,4
star,4
peanut,4
especially,4
wrong,4
ok,4
every,4
spend,4
earlier,4
dark,4
size,4
eyes,4
extremely,4
days,4
damn,4
simple,4
stuff,4
specialty,4
experiences,4
strawberry,4
crunch,4
slow,4
easy,4
tasting,4
eclairs,4
part,4
tchin,4
display,4
crusty,4
partner,4
sometimes,4
crunchy,4
overall,4
waiting,4
die,4
white,4
portion,4
highly,4
brest,4
treats,4
higher,4
sad,4
mine,4
heard,4
train,4
let,4
hit,4
based,4
lime,4
savory,4
list,4
care,4
needed,4
provide,4
tonight,4
scene,4
lattes,4
run,4
bake,4
bottom,4
miss,4
keep,4
priced,4
impressed,4
roasted,4
kitchen,4
board,4
knew,4
unfortunately,4
monday,4
large,4
regular,4
box,4
problem,4
welcoming,4
mousse,4
mouth,4
forward,4
amount,4
ago,4
negative,4
sauce,4
interesting,4
chairs,4
gem,4
seems,4
within,4
version,4
charcoal,4
tomato,4
thought,4
able,4
local,4
looks,4
selling,4
makes,4
wonder,4
pieces,4
sent,4
seen,4
serrano,4
actual,4
second,4
area,4
seating,4
