0,word_count
croissants,40
french,39
place,36
croissant,36
good,35
coffee,34
great,33
back,29
time,28
sandwich,26
one,26
pastries,26
macaroons,26
sandwiches,25
food,22
chocolate,22
delicious,22
go,21
bread,20
breakfast,19
staff,19
also,18
la,18
neighborhood,17
quiche,17
ordered,17
try,16
little,16
really,16
get,16
definitely,16
like,16
boulangerie,15
bakery,15
baguette,15
items,15
well,13
fresh,13
best,13
first,13
order,13
line,12
service,12
cafe,12
said,12
next,12
baked,12
tried,12
seating,11
came,11
menu,11
morning,10
friendly,10
excellent,10
never,10
bit,10
macaroon,9
take,9
nice,9
pretty,9
two,9
everything,9
right,9
small,9
authentic,9
butter,8
asked,8
cheese,8
warm,8
perfect,8
tasty,8
chicago,8
see,8
made,8
addition,8
much,8
every,8
5,8
know,8
even,8
come,8
day,8
salmon,7
since,7
street,7
side,7
sure,7
find,7
brie,7
guy,7
people,7
quite,7
ham,7
wait,7
outside,7
hard,7
egg,7
thought,7
25,7
amazing,7
patio,7
times,7
hot,6
etc,6
looking,6
better,6
love,6
crepe,6
live,6
france,6
new,6
paris,6
open,6
serve,6
quick,6
feel,6
school,6
goods,6
got,6
price,6
crust,6
inside,6
might,6
,6
tables,6
stopped,6
available,6
work,6
area,6
yet,6
atmosphere,6
always,6
wife,6
around,5
sweet,5
cute,5
3,5
baguettes,5
absolutely,5
however,5
2,5
sugar,5
mind,5
box,5
selection,5
favorite,5
expensive,5
eat,5
outdoor,5
taste,5
walked,5
though,5
lunch,5
long,5
found,5
loaf,5
plain,5
living,5
want,5
thing,5
wanted,5
water,5
texture,5
done,5
quality,5
minute,5
colombe,5
full,5
friend,5
yes,5
us,5
give,5
girlfriend,5
course,5
gem,5
simple,5
worth,5
stop,5
crepes,5
shop,5
flan,5
stars,5
left,4
something,4
flavors,4
several,4
layers,4
soft,4
make,4
quiches,4
charming,4
complaint,4
way,4
kitchen,4
ravenswood,4
overpriced,4
treats,4
waited,4
parisian,4
pick,4
lot,4
desserts,4
walking,4
another,4
spot,4
perfection,4
still,4
name,4
walk,4
coming,4
sometimes,4
pistachio,4
speak,4
$2,4
freshly,4
:,4
think,4
soon,4
type,4
across,4
inconsistent,4
business,4
hand,4
average,4
away,4
sit,4
hazelnut,4
saturday,4
seems,4
building,4
saw,4
sign,4
say,4
extra,4
ones,4
bite,4
fantastic,4
greens,4
breads,4
buy,4
opinion,4
grabbed,4
sample,4
bottom,4
behind,4
served,4
going,4
enjoyed,4
review,4
bacon,4
ordering,4
went,4
took,4
home,4
damen,4
second,4
crusty,3
minutes,3
lucky,3
variety,3
customer,3
customers,3
mouth,3
waiting,3
many,3
actually,3
meal,3
makes,3
dark,3
days,3
adorable,3
visit,3
maybe,3
impressed,3
lovely,3
loved,3
europe,3
high,3
ever,3
hidden,3
extremely,3
greeted,3
1,3
far,3
gorgeous,3
without,3
woman,3
wonderful,3
filling,3
getting,3
gave,3
flavor,3
flavorful,3
front,3
foods,3
especially,3
hoping,3
hour,3
least,3
look,3
die,3
different,3
located,3
dirty,3
disappointing,3
list,3
liked,3
door,3
enjoy,3
last,3
large,3
kids,3
easy,3
instead,3
eating,3
husband,3
hubby,3
baker,3
need,3
casual,3
salad,3
cappuccino,3
regular,3
recommend,3
case,3
cases,3
recent,3
trip,3
questions,3
put,3
professional,3
prices,3
priced,3
prepared,3
city,3
classic,3
piece,3
clearly,3
table,3
samples,3
pastry,3
buttery,3
special,3
basket,3
smooth,3
believe,3
sitting,3
simply,3
signage,3
avocado,3
bought,3
bright,3
bring,3
brought,3
brown,3
savory,3
ate,3
summer,3
ask,3
three,3
forgot,3
pain,3
nothing,3
top,3
parents,3
parking,3
communal,3
orders,3
counter,3
overall,3
offer,3
onions,3
normandie,3
often,3
almond,3
grocery,2
guess,2
mixed,2
obviously,2
greeting,2
style,2
searching,2
students,2
half,2
wish,2
money,2
passed,2
hands,2
happy,2
surprised,2
white,2
version,2
whole,2
office,2
herbed,2
helpful,2
heated,2
heat,2
heard,2
hear,2
mini,2
veggie,2
window,2
within,2
strawberry,2
stops,2
store,2
seemed,2
smart,2
smells,2
mozzarella,2
soggy,2
ganache,2
someone,2
town,2
year,2
sorry,2
sour,2
spacious,2
years,2
sparse,2
must,2
spent,2
types,2
slow,2
nordic,2
short,2
seriously,2
whenever,2
stopping,2
share,2
gone,2
shops,2
giving,2
world,2
unfortunately,2
significantly,2
gifts,2
gift,2
working,2
moved,2
oh,2
running,2
highly,2
hit,2
literally,2
listed,2
oven,2
pricey,2
lincoln,2
prime,2
told,2
let,2
lemon,2
purchased,2
may,2
leek,2
tell,2
outer,2
le,2
things,2
plenty,2
location,2
lorraine,2
luckily,2
today,2
together,2
to-go,2
pay,2
lose,2
parts,2
part,2
paying,2
looked,2
per,2
perfectly,2
longer,2
person,2
tax,2
lattes,2
later,2
tough,2
improved,2
impression,2
meet,2
immediately,2
register,2
huge,2
relaxing,2
mediocre,2
restaurant,2
house,2
rich,2
robert,2
past,2
sadly,2
including,2
welcome,2
quiet,2
read,2
tart,2
raspberry,2
week,2
knew,2
rather,2
kind,2
jam,2
inedible,2
weekend,2
item,2
intense,2
ready,2
opted,2
weight,2
trying,2
less,2
authenticity,2
cashier,2
appreciate,2
crisp,2
croquettes,2
actual,2
comfortable,2
called,2
areas,2
beyond,2
cold,2
exceptional,2
coconut,2
bench,2
close,2
beautiful,2
fair,2
fairly,2
family,2
fan,2
fast,2
favorites,2
disappointed,2
community,2
creamy,2
apple,2
bakeries,2
efficient,2
almost,2
amazingly,2
boyfriend,2
ambience,2
earlier,2
cookies,2
cookie,2
either,2
couple,2
cake,2
dry,2
brunch,2
anymore,2
consistent,2
cozy,2
enjoyable,2
enough,2
buying,2
entire,2
6,2
cost,2
$7,2
finally,2
dense,2
$3,2
chat,2
check,2
based,2
dairy,2
daily,2
dessert,2
baking,2
$11,2
firm,2
choose,2
chicken,2
felt,2
atlantic,2
difficult,2
dinner,2
50,2
square,1
boasts,1
speaking,1
separate,1
shock,1
semi,1
boasted,1
squarei'll,1
speaks,1
bang,1
bar,1
boards,1
shortcuts,1
blocks,1
shell,1
balsamic,1
bottoms,1
shelf,1
spring,1
serves,1
spots,1
bonnie,1
bakers,1
spilled,1
set,1
bonbons,1
boulangerie's,1
shadow,1
boulevard,1
bits,1
shame,1
boded,1
shared,1
sheepishly,1
specialty,1
sides,1
softer,1
barely,1
bistro,1
sized,1
sell,1
skip,1
slave,1
slew,1
slice,1
batch,1
belmont,1
begin,1
began,1
smoked,1
somehow,1
snag,1
sold,1
sneak,1
bathrooms,1
social,1
sogginess,1
sofitel's,1
size,1
batard,1
beneath,1
barista,1
bin,1
silky,1
silly,1
beats,1
similar,1
similarly,1
space,1
bill,1
souls,1
sometime,1
biggest,1
bigger,1
single,1
sip,1
basic,1
somewhat,1
sister,1
basis,1
skim,1
scrumptious,1
selfishly,1
refrigeration,1
raving,1
reaching,1
certainly,1
cb,1
reality,1
caused,1
reasonable,1
reasonably,1
cas,1
recommendation,1
recommended,1
carts,1
self,1
cart,1
relative,1
relaxed,1
caramelized,1
removed,1
renowned,1
reorder,1
replaced,1
representation,1
canelles,1
restaurants,1
chairs,1
raved,1
rating,1
change,1
chicagoland,1
prompted,1
pronounce,1
chewy,1
purchasing,1
purposes,1
chew,1
putechoux,1
pâté,1
cheery,1
checking,1
charm,1
quickly,1
charged,1
quirky,1
chaos,1
rainy,1
rambunctious,1
random,1
randomly,1
ranging,1
rarely,1
changed,1
returned,1
returning,1
canard,1
busy,1
satisfy,1
bunch,1
sauces,1
bummed,1
browned,1
saying,1
scene,1
bringing,1
score,1
screaming,1
screams,1
seams,1
search,1
bready,1
seat,1
bread-like,1
boystown,1
section,1
seem,1
boxes,1
bourgeois,1
bounce,1
selections,1
bursting,1
cafe's,1
reviewed,1
salt,1
reviewers,1
reviewing,1
reviews,1
calling,1
rillettes,1
roasted,1
roasters,1
call,1
rocher,1
rosa,1
rotations,1
round,1
rregister,1
run,1
calendar,1
rushed,1
s'il,1
s'more,1
s'mores,1
cakes,1
café,1
salads,1
cafes,1
st,1
fortunately,1
star,1
waistline,1
vegetarian,1
addicted,1
ventilation,1
venue,1
add,1
versus,1
vinegar,1
visibly,1
visiting,1
vous,1
w,1
achieve,1
adding,1
access,1
waiters,1
accent,1
academy,1
abroad,1
able,1
walks,1
wall,1
=,1
90,1
8,1
various,1
value,1
warms,1
uneven,1
tries,1
air,1
aioli,1
afford,1
advance,1
adore,1
adjoining,1
ubiquitous,1
umber,1
unable,1
undoing,1
adequately,1
vacation,1
unfriendly,1
uniformly,1
unknowingly,1
unpleasant,1
upcharge,1
updated,1
upon,1
uptown,1
adds,1
use,1
usually,1
warmly,1
wasted,1
bag,1
$25,1
20%,1
08,1
04,1
'sandwich',1
'inquiry',1
workflow,1
$6,1
$4,1
write,1
x,1
yay,1
$15,1
wiped,1
yelp,1
$14,1
yesterday,1
yesteryear,1
yey,1
youthful,1
yum,1
yummm,1
yummy,1
zucchini,1
éclairs,1
