user_name,Date,Updated,Stars,Location,Text,check_ins,Cool,Useful,Funny,Photos,prev_date,prev_stars,prev_text,prev_Cool,prev_Useful,prev_Funny,status,user_link,user_friends,user_photos,user_reviews
Erin H.,12/29/2018,1,5,"Chicago, IL","This place has the BEST croissant I've had in Chicago! They're soft, crispy, and perfectly filled. This is a great spot for doing work and for catching up with friends. I've also had their quiche and macaroons. The quiche is really good and the macaroons have so many different flavors, all of which are yummy!",1,0,0,0,['https://s3-media4.fl.yelpcdn.com/bphoto/efFTuTNBBx3javLu0GMAzA/348s.jpg'],10/8/2018,5.0,"This place has the BEST croissant I've had in Chicago! They're soft, crispy, and perfectly filled. This is a great spot for doing work and for catching up with friends. I've also had their quiche and macaroons. The quiche is really good and the macaroons have so many different flavors, all of which are yummy!",0,0,0,not elite,https://www.yelp.com/user_details?userid=Y0Yt3Aheb8nV8zk0hGAmMQ,119,15,64
Hope B.,11/13/2018,0,5,"Chicago, IL","I found this French cafe accidentally when I originally planned to go to another coffee shop in Logan Square. Little did I know that I would fall in love with this place right off the bat. The large area for seating (whether it's just a coffee date or study session) is great! I loved the huge table they had in their entrance. The employees were extremely kind and explained the sandwich options to me (as it was my first time). The charming smell of freshly baked bread and home-like environment will make you feel as if you're not in a busy city like Chicago. I ordered a chai and a croissant (of course!). I was extremely satisfied with both. The chai was on the sweeter side, but I still enjoyed it greatly.Definitely will make this a regular study spot for me!",0,0,0,0,['https://s3-media4.fl.yelpcdn.com/bphoto/F-Kg9v_dISc3QPFDCgFNdw/348s.jpg'],,,,,,,not elite,https://www.yelp.com/user_details?userid=pLPd1_hdRzGVuhmvOcagtg,38,1,3
Katherine A.,11/13/2018,0,5,"Ballwin, MO","Yes.  This is what you want.  Comfortable feel with quality espresso and delicious French pastries.  The crepe was the perfect texture and somehow buttery without being greasy.  Add the lemon and whipped cream for sure.  Also, I couldn't taste the hazelnut in my cortado, when I asked if it might have been forgotten the barista said ""Its in there, but do you want another?""  I declined and didn't want to be fussy.  Three minutes later he came out with a new one for me anyway.  Nice service!",0,0,0,0,"['https://s3-media1.fl.yelpcdn.com/bphoto/2vf2FkfyPM3GhDIh_V_fqw/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/y6fM4FidP97chQnrUjk2qg/168s.jpg']",,,,,,,elite,https://www.yelp.com/user_details?userid=1pT3x92oLtKcJY-eyW7fhw,10,145,81
Anna G.,11/12/2018,0,5,"Evanston, IL","Cozy spot for a quick bite or to settle in and work/read for a while. I got a crepe and some coffee and it was exactly what was fresh and delicious. They also have some books with Francophile goods, such as mustards and jams, and I'll definitely be back for a croissant or some of their bread, for sure.",0,0,1,0,[],,,,,,,elite,https://www.yelp.com/user_details?userid=4tkkDeJ9pAMfrsj920fazg,13,89,65
Kelly J.,10/19/2018,0,5,"Chicago, IL","New York has nothing on French bakeries compared to this place! Honestly like Paris, or maybe better. Best bread I have ever had and La Colombe, la Colombe, la Colombe! Omg, amazing.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=OQVAE5Eo_hIxCdRsT_Izfw,0,0,12
Liz M.,10/14/2018,0,2,"Long Beach, CA","I've been here twice now and tried two different versions of their croissants, almond and ham & cheese. I really wanted to like them, but both times the pastries have been undercooked (raw pastry in the center) and don't have the right flakiness which makes me think the pastry is made with a fat or lard rather than butter? Other than that, the cafe smells amazing when you walk in the front door and the case of sweet pastries and tarts looks great but I haven't tried them.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=yDS1XXAx43eHuONEy0SS4g,34,1,14
J J.,10/8/2018,0,5,"St. Louis, MO","Was passing through the area after a lovely stop at Fleur and was craving macaroons. One of my roommates noted that there was a little French place where I could satisfy that craving. This place definitely delivered! Firstly, it's adorable. I had to add it to my list of places to take bae sometime. It's very cozy with adorable little nooks and leather plush chairs, etc. You kind of walk through the entire place to get back to the kitchen/counter area and the whole thing has a warm, cozy vibe to it. Very happy. In addition to macaroons, they had an assortment of pastries, cheesecakes, tarts, and what looked like quiches or casseroles. People all around seemed to be eating with enjoyment. I ordered three macaroons which were delicious. I actually enjoyed them so much that I saved one for later (I remembered to do this review while at work and gleefully remembering the pistachio macaroon still in my bag, just finished it). They also have a cozy little outdoor seating area which has lots of trees and vines despite being in the middle of an urban area. Overall, a really lovely and eclectic place. I definitely have to go back for their macaroons. They're a great size for macaroons and the flavors were delicious! Plus really friendly staff. Definitely will be returning.",0,0,1,0,"['https://s3-media1.fl.yelpcdn.com/bphoto/BjAiDYNy3H-dGgTsVhtyOQ/348s.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Fy4ESESUHXR5ElPU1lR4fA/168s.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/cIdi7_Bw0M8pbuCIx8FbPg/168s.jpg']",,,,,,,not elite,https://www.yelp.com/user_details?userid=B0_sbv2OdY-dgmN6wlrZYQ,0,60,30
Adri M.,9/15/2018,0,4,"Perth, Australia","New favourite sandwich spot. Ordered the Atlantic sandwich, so tasty and perfect for the morning when you want something light but substantial enough to fill you up. The coffee was meh, but all the yummy pastries on the display counter says I need to come back and try more. Very happy.",0,0,0,0,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=7LTXMuIVXC842E77kstFow,2,0,6
Whitney W.,9/9/2018,0,3,"Chicago, IL",The lack of consistency here is beyond frustrating. We love the food in the beginning  but it's never the same quality. Today we got the worst breakfast sandwiches yet. It's as if the quality has gone down from when they first opened which wasn't even long ago. The wait time for food is insane and the prices are high for such terrible quality.,0,0,1,0,"['https://s3-media2.fl.yelpcdn.com/bphoto/uzKEfzqrOLgp0cxd5fIiJQ/168s.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/0KptudxwpZUn6O4VYR-OXw/168s.jpg']",,,,,,,not elite,https://www.yelp.com/user_details?userid=XSI7wDyrlbekvN0-vHhOBQ,3,2,16
RC C.,9/1/2018,0,5,"Chicago, IL",One of the commentators below isnt joking: these are the best baguettes that you'll have outside France. I buy them at every bakery I go and these are legit. The five star rating is worth it for them alone. They also have a delightful selection of other French bakery-inspired sandwiches Im very happy to have this addition in Logan Square as it was much needed and I'm excited to go back,0,0,1,1,[],,,,,,,not elite,https://www.yelp.com/user_details?userid=e1CFZUsTayFBaDYzpIoSNw,0,0,16
Tsega T.,8/29/2018,0,5,"Louisville, KY","We came here for breakfast on a weekday morning. They were baking bread up front, which was a feast for the eyes and the nostrils. We tried the chocolate croissant, a breakfast sandwich, and quiche. The quiche was by far my favorite. The croissants for the sandwiches are small but very tasty. Prices are a little steep but they make up for it in taste and quality. Location is lively - we sat by a window overlooking the busy street.",1,0,2,1,[],,,,,,,elite,https://www.yelp.com/user_details?userid=sjx2qEYY5UvggRgYhf_Z9Q,10,114,90
