0,word_count
coffee,31
place,21
great,20
one,18
food,17
sandwich,16
also,15
back,15
go,14
delicious,14
macaroons,13
croissant,13
service,12
like,11
sandwiches,11
french,11
logan,11
get,11
croissants,10
really,10
crepe,10
bread,10
order,9
little,9
people,9
time,9
nice,9
pastries,9
cozy,8
staff,8
area,8
good,8
fresh,7
wait,7
seating,7
times,7
breakfast,7
la,7
square,7
friendly,7
ordered,6
spot,6
waiting,6
want,6
maybe,6
bit,6
definitely,6
counter,6
pastry,6
quality,6
new,6
cheese,6
amazing,6
outdoor,5
perfect,5
looking,5
another,5
best,5
love,5
quiche,5
inside,5
always,5
outside,5
minutes,5
two,5
take,5
made,5
savory,5
small,5
excited,5
bakery,5
happy,5
sit,5
well,5
sure,5
came,5
egg,5
shop,4
front,4
seems,4
boulangerie,4
prices,4
still,4
case,4
tried,4
quite,4
cute,4
table,4
never,4
cafe,4
colombe,4
cold,4
favorite,4
patio,4
assortment,4
lovely,4
baked,4
long,4
makes,4
excellent,4
worth,4
around,4
crepes,4
work,4
lunch,4
make,3
chicago,3
side,3
sweet,3
asked,3
offerings,3
find,3
goods,3
review,3
right,3
think,3
paris,3
went,3
door,3
even,3
first,3
40,3
music,3
give,3
tables,3
flavors,3
come,3
tarts,3
coming,3
tasty,3
going,3
half,3
chairs,3
us,3
taste,3
different,3
addition,3
expect,3
wow,3
space,3
disappointed,3
left,3
wanted,3
try,3
super,3
fantastic,3
opened,3
summer,3
far,3
seem,3
bakeries,3
open,3
plush,3
pretty,3
much,3
adorable,3
working,3
yummy,3
hard,3
weekends,3
awesome,3
to-go,3
ham,3
almond,3
morning,2
flaky,2
five,2
shame,2
espresso,2
ever,2
every,2
everyone,2
everything,2
serve,2
extremely,2
selection,2
environment,2
farmers,2
feel,2
enough,2
filled,2
fine,2
enjoyed,2
employees,2
shops,2
high,2
salmon,2
location,2
laptops,2
large,2
later,2
least,2
leather,2
less,2
let,2
light,2
onions,2
line,2
ok,2
offer,2
said,2
looks,2
number,2
next,2
many,2
market,2
neighborhood,2
need,2
messy,2
middle,2
