,event_date,event_link,event_time,event_title,start_time,end_time
0,2016-08-22,https://www.lyceechicago.org/calendar/back-to-school-prep-for-staff,All day,Back to School Prep for New Teachers,12:00 am,11:59 pm
1,2016-08-23,https://www.lyceechicago.org/calendar/back-to-school-prep-for-staff,All day,Back to School Prep for New Teachers,12:00 am,11:59 pm
2,2016-08-24,https://www.lyceechicago.org/calendar/back-to-school-prep-for-all-staff-0,All day,Back to School Prep for All Staff,12:00 am,11:59 pm
3,2016-08-25,https://www.lyceechicago.org/calendar/back-to-school-prep-for-all-staff-0,All day,Back to School Prep for All Staff,12:00 am,11:59 pm
4,2016-08-26,https://www.lyceechicago.org/calendar/back-to-school-prep-for-all-staff-0,All day,Back to School Prep for All Staff,12:00 am,11:59 pm
5,2016-08-29,https://www.lyceechicago.org/calendar/welcome-day,All day,Welcome Day,12:00 am,11:59 pm
6,2016-08-30,https://www.lyceechicago.org/calendar/school-opens-for-1st-12th-grade-0,All day,School Opens for 1st - 12th grade,12:00 am,11:59 pm
7,2016-08-31,https://www.lyceechicago.org/calendar/school-opens-for-preschool,8:30 am to 11:30 am,School Opens for Preschool,8:30 am,11:30 am
8,2016-09-01,https://www.lyceechicago.org/calendar/parent-association-welcome-coffee,8:15 am to 10:00 am,Parent Association Welcome Coffee,8:15 am,10:00 am
9,2016-09-05,https://www.lyceechicago.org/calendar/labor-day-school-closed-0,All day,Labor Day - School Closed,12:00 am,11:59 pm
10,2016-09-09,https://www.lyceechicago.org/calendar/auditions-for-lfc-production-of-les-miserables,3:45 pm,Auditions for LFC Production of Les Misérables,3:45 pm,
11,2016-09-10,https://www.lyceechicago.org/calendar/auditions-for-lfc-production-of-les-miserables-0,12:00 pm,Auditions for LFC Production of Les Misérables,12:00 pm,
12,2016-09-26,https://www.lyceechicago.org/calendar/international-college-fair-0,6:30 pm,International College Fair,6:30 pm,
13,2016-10-17,https://www.lyceechicago.org/calendar/fall-recess-school-closed,All day,Fall Recess - School Closed,12:00 am,11:59 pm
14,2016-10-18,https://www.lyceechicago.org/calendar/fall-recess-school-closed,All day,Fall Recess - School Closed,12:00 am,11:59 pm
15,2016-10-19,https://www.lyceechicago.org/calendar/fall-recess-school-closed,All day,Fall Recess - School Closed,12:00 am,11:59 pm
16,2016-10-20,https://www.lyceechicago.org/calendar/fall-recess-school-closed,All day,Fall Recess - School Closed,12:00 am,11:59 pm
17,2016-10-21,https://www.lyceechicago.org/calendar/fall-recess-school-closed,All day,Fall Recess - School Closed,12:00 am,11:59 pm
18,2016-10-24,https://www.lyceechicago.org/calendar/in-service-day-for-staff-no-school-for-students-0,All day,In Service Day for Staff - No School for Students,12:00 am,11:59 pm
19,2016-11-05,https://www.lyceechicago.org/calendar/open-house,10:00 am to 1:00 pm,Open House,10:00 am,1:00 pm
