,Branch,Branch_Num,Date,Text,Filtered,Stars,Useful,id,sent_comp,sent_neg,sent_neu,sent_pos,status,user_friends,user_reviews
0,Damen,1,1/3/2019,"I just stopped by this cafe for the first time. I have to say it is the best cafe I have ever tried. The ham and cheese croissant was to die for. I had one and had to go back in and take one to go for later. THis place is small, but seems to do great business! I will be planning to come back next time I'm in the area. This is a must try.","['stopped', 'cafe', 'first', 'time', 'say', 'best', 'cafe', 'ever', 'tried', 'ham', 'cheese', 'croissant', 'die', 'one', 'go', 'back', 'take', 'one', 'go', 'later', 'place', 'small', 'seems', 'great', 'business', 'planning', 'come', 'back', 'next', 'time', 'area', 'must', 'try']",5,0,Sonja M.,0.7678,0.05,0.841,0.109,not elite,63,22
1,Damen,1,12/31/2018,"I adore this neighborhood bakery. It is a few blocks from where I live, so I find myself here on many weekend mornings. Everything is so fresh -- from the made to order sandwiches, to the freshly baked breads and pastries. The delicious smells from the kitchen and the large crowds say it all! I have only been here in the winter, but I imagine the patio would be a great place to enjoy a quick coffee and bite. The only suggestion I have is to potentially have a better system for keeping track of ""to-go"" orders. I've waited quite a while for to-go items that were forgotten by the staff who took my order.","['adore', 'neighborhood', 'bakery', 'blocks', 'live', 'find', 'many', 'weekend', 'mornings', 'everything', 'fresh', 'made', 'order', 'sandwiches', 'freshly', 'baked', 'breads', 'pastries', 'delicious', 'smells', 'kitchen', 'large', 'crowds', 'say', 'winter', 'imagine', 'patio', 'great', 'place', 'enjoy', 'quick', 'coffee', 'bite', 'suggestion', 'potentially', 'better', 'system', 'keeping', 'track', 'to-go', 'orders', 'waited', 'quite', 'to-go', 'items', 'forgotten', 'staff', 'took', 'order']",5,0,Courtney J.,0.958,0.032,0.796,0.172,elite,263,61
2,Damen,1,12/23/2018,"I've been dreaming of quiche and croissants as good as the ones I had in Paris. Everything here is phenomenal and baked daily. We've had all types of croissants, muffins, macaroons, and quiche here. My favorite is the salmon and leek quiche. Stop be here, it's a hidden gem. The bread is to die for and smells up the whole bakery.","['dreaming', 'quiche', 'croissants', 'good', 'ones', 'paris', 'everything', 'phenomenal', 'baked', 'daily', 'types', 'croissants', 'muffins', 'macaroons', 'quiche', 'favorite', 'salmon', 'leek', 'quiche', 'stop', 'hidden', 'gem', 'bread', 'die', 'smells', 'whole', 'bakery']",5,0,Sabrina G.,-0.0516,0.091,0.821,0.088,elite,195,52
3,Damen,1,10/10/2018,"We came to La Boulangerie after recommendation from my cousin and it just happened to be very close to the Airbnb we stayed at. The cafe has a very warm and inviting ambiance. There's communal tables inside and a few tables outside. The majority of the staff speak French, and it's located right next to a French school. I ordered the salmon and leek quiche, which came with a small side salad.  My girlfriend ordered the strawberry mille-feuille. We also ordered a bunch of macarons for ourselves as gifts for family. All of the items were delicious and the staff was very friendly and attentive. I would definitely recommend checking this place out!","['came', 'la', 'boulangerie', 'recommendation', 'cousin', 'happened', 'close', 'airbnb', 'stayed', 'cafe', 'warm', 'inviting', 'ambience', 'communal', 'tables', 'inside', 'tables', 'outside', 'majority', 'staff', 'speak', 'french', 'located', 'right', 'next', 'french', 'school', 'ordered', 'salmon', 'leek', 'quiche', 'came', 'small', 'side', 'salad', 'girlfriend', 'ordered', 'strawberry', 'mille-feuille', 'also', 'ordered', 'bunch', 'macaroons', 'gifts', 'family', 'items', 'delicious', 'staff', 'friendly', 'attentive', 'definitely', 'recommend', 'checking', 'place']",5,0,Alfie B.,0.9472,0.0,0.851,0.149,elite,17,107
4,Damen,1,10/9/2018,"This is a great breakfast spot. Even better if you're looking to practice French, as the staff speaks French, and there's a French Academy right across the street. Tables are communal style inside, and there's plenty of patio seating outside. Boyfriend ordered the quiche and a side salad for breakfast, while I got a strawberry millefeuille. Both were very tasty. We walked out with gift boxes of macarons too, and they were pretty, well-constructed, and delicious. Very laid-back atmosphere.","['great', 'breakfast', 'spot', 'even', 'better', 'looking', 'practice', 'french', 'staff', 'speaks', 'french', 'french', 'academy', 'right', 'across', 'street', 'tables', 'communal', 'style', 'inside', 'plenty', 'patio', 'seating', 'outside', 'boyfriend', 'ordered', 'quiche', 'side', 'salad', 'breakfast', 'got', 'strawberry', 'millefeuille', 'tasty', 'walked', 'gift', 'boxes', 'macaroons', 'pretty', 'well-constructed', 'delicious', 'laid-back', 'atmosphere']",5,1,Anna L.,0.9501,0.0,0.804,0.196,elite,28,176
5,Damen,1,10/2/2018,"Everytime i go here im like, wait a minute, is this a school open house? always filled with kids running around and parents and parents and parents greeting each other so unfortunately not a perfect place for a quiet coffee chat. really good pastries so i just make it to go.","['everytime', 'go', 'im', 'like', 'wait', 'minute', 'school', 'open', 'house', 'always', 'filled', 'kids', 'running', 'around', 'parents', 'parents', 'parents', 'greeting', 'unfortunately', 'perfect', 'place', 'quiet', 'coffee', 'chat', 'really', 'good', 'pastries', 'make', 'go']",3,0,Jordan E.,0.2299,0.117,0.732,0.152,not elite,0,20
6,Damen,1,9/22/2018,"call first if you want french bread. Called around noon on a Saturday and they were already sold out and it would have been a wasted trip if I had not called. Of course, I could've waited can hour! Obviously bad management or immature kids who can't handle running a business.","['call', 'first', 'want', 'french', 'bread', 'called', 'around', 'noon', 'saturday', 'already', 'sold', 'wasted', 'trip', 'called', 'course', ""could've"", 'waited', 'hour', 'obviously', 'bad', 'management', 'immature', 'kids', 'handle', 'running', 'business']",1,0,Devon S.,-0.7712,0.136,0.838,0.025,not elite,2,79
7,Damen,1,8/26/2018,"We walk 25 minutes to this little cafe to bring home their delicious baguette. We could go to any umber of supermarkets much closer to home, but this bread is exceptional. Returning from living abroad in Europe, it's hard to find a bakery that does fresh, good bread and the supermarket ""bakeries"" just don't suffice anymore. The croissants here are great - but like some other reviewers have said, more dense and less layered like the authentic ones you might crave. Still good though.","['walk', '25', 'minutes', 'little', 'cafe', 'bring', 'home', 'delicious', 'baguette', 'go', 'umber', 'supermarkets', 'much', 'closer', 'home', 'bread', 'exceptional', 'returning', 'living', 'abroad', 'europe', 'hard', 'find', 'bakery', 'fresh', 'good', 'bread', 'supermarket', 'bakeries', 'suffice', 'anymore', 'croissants', 'great', 'like', 'reviewers', 'said', 'dense', 'less', 'layered', 'like', 'authentic', 'ones', 'might', 'crave', 'still', 'good', 'though']",5,2,Heather P.,0.9765,0.016,0.734,0.25,not elite,196,106
8,Damen,1,6/29/2017,"It's a small, cute, authentic little French bistro type place. I was not as impressed as I would have liked. I waited for a while to be noticed in what I thought was a line to order. Two men walked in and were immediately greeted and helped, while I stood in front of the register, hoping to order a cappuccino. That was irritating. The cappuccino was lovely, the community seating was fine, the menu was small and concise. After coffee, I wanted to order a sandwich. I went with the Parisian. The bread was crusty like it should be, but maybe a little too crusty. It hurt my mouth. The ham was great. The cheese was great, but all three together was maybe a little too pricey with a $7 and some change bill. No sides and the size of the sandwich was average.","['small', 'cute', 'authentic', 'little', 'french', 'bistro', 'type', 'place', 'impressed', 'liked', 'waited', 'noticed', 'thought', 'line', 'order', 'two', 'men', 'walked', 'immediately', 'greeted', 'helped', 'stood', 'front', 'register', 'hoping', 'order', 'cappuccino', 'irritating', 'cappuccino', 'lovely', 'community', 'seating', 'fine', 'menu', 'small', 'concise', 'coffee', 'wanted', 'order', 'sandwich', 'went', 'parisian', 'bread', 'crusty', 'like', 'maybe', 'little', 'crusty', 'hurt', 'mouth', 'ham', 'great', 'cheese', 'great', 'three', 'together', 'maybe', 'little', 'pricey', '$7', 'change', 'bill', 'sides', 'size', 'sandwich', 'average']",2,2,Heather P.,0.9006,0.074,0.766,0.16,elite,319,408
9,Damen,1,8/25/2018,"I have had a fair share amount of French pastries and based on the yelp review I tried this place for the first time. I had croissants, tart and a piece of flan from this place. The flan and tart were pretty good though one thing I need to say about the flan is that the crust was all soggy and had an unpleasant texture. The croissants were a little disappointing as they were not so French and more of the American style. They did not have many thin layers and are more bready, heavy and dense. Overall the pastries that I has are just the average but I am willing to try other things they have next time.","['fair', 'share', 'amount', 'french', 'pastries', 'based', 'yelp', 'review', 'tried', 'place', 'first', 'time', 'croissants', 'tart', 'piece', 'flan', 'place', 'flan', 'tart', 'pretty', 'good', 'though', 'one', 'thing', 'need', 'say', 'flan', 'crust', 'soggy', 'unpleasant', 'texture', 'croissants', 'little', 'disappointing', 'french', 'american', 'style', 'many', 'thin', 'layers', 'bready', 'heavy', 'dense', 'overall', 'pastries', 'average', 'willing', 'try', 'things', 'next', 'time']",3,0,Emma L.,0.3174,0.035,0.902,0.063,not elite,36,9
