,Date,Temperature,Precipitation,Summary,Formatted_Date
0,1482645600,34.26,0.0,Overcast,2016-12-25
1,1482732000,39.56,0.68,Drizzle,2016-12-26
2,1482818400,28.81,0.0,Clear,2016-12-27
3,1482904800,23.65,0.0,Clear,2016-12-28
4,1482991200,34.61,0.0,Clear,2016-12-29
5,1483077600,31.36,0.0,Overcast,2016-12-30
6,1483164000,36.83,0.0,Partly Cloudy,2016-12-31
7,1483250400,25.25,0.0,Clear,2017-01-01
8,1483336800,31.15,0.0,Clear,2017-01-02
9,1483423200,39.2,0.13,Foggy,2017-01-03
10,1483509600,20.32,0.0,Clear,2017-01-04
11,1483596000,8.68,0.0,Overcast,2017-01-05
12,1483682400,4.09,0.0,Clear,2017-01-06
13,1483768800,2.48,0.0,Clear,2017-01-07
14,1483855200,7.79,0.0,Clear,2017-01-08
15,1483941600,18.65,0.0,Mostly Cloudy,2017-01-09
16,1484028000,33.09,0.0,Overcast,2017-01-10
17,1484114400,26.17,0.0,Clear,2017-01-11
18,1484200800,28.25,0.0,Overcast,2017-01-12
19,1484287200,20.41,0.0,Clear,2017-01-13
20,1484373600,27.2,0.0,Overcast,2017-01-14
21,1484460000,24.34,0.0,Clear,2017-01-15
22,1484546400,31.63,0.0,Clear,2017-01-16
23,1484632800,37.89,0.86,Drizzle,2017-01-17
24,1484719200,34.81,0.0,Overcast,2017-01-18
25,1484805600,33.16,0.0,Clear,2017-01-19
26,1484892000,37.78,0.96,Rain,2017-01-20
27,1484978400,43.81,0.63,Drizzle,2017-01-21
28,1485064800,41.61,0.0,Foggy,2017-01-22
29,1485151200,38.1,0.0,Overcast,2017-01-23
30,1485237600,38.69,0.0,Overcast,2017-01-24
31,1485324000,35.74,0.1,Overcast,2017-01-25
32,1485410400,34.29,0.39,Overcast,2017-01-26
33,1485496800,30.75,0.0,Overcast,2017-01-27
34,1485583200,26.02,0.0,Mostly Cloudy,2017-01-28
35,1485669600,27.13,0.0,Overcast,2017-01-29
36,1485756000,21.94,0.0,Mostly Cloudy,2017-01-30
37,1485842400,37.37,0.0,Overcast,2017-01-31
38,1485928800,35.43,0.0,Overcast,2017-02-01
39,1486015200,21.86,0.0,Clear,2017-02-02
40,1486101600,15.73,0.0,Clear,2017-02-03
41,1486188000,19.31,0.0,Clear,2017-02-04
42,1486274400,32.27,0.0,Partly Cloudy,2017-02-05
43,1486360800,27.41,0.0,Clear,2017-02-06
44,1486447200,43.3,0.04,Foggy,2017-02-07
45,1486533600,32.6,0.0,Overcast,2017-02-08
46,1486620000,18.95,0.0,Clear,2017-02-09
47,1486706400,18.32,0.0,Mostly Cloudy,2017-02-10
